latitude,longitude,population
19.5193056,-99.2279167,8.393051
19.51875,-99.2268056,8.393051
19.5195833,-99.2256944,8.393051
19.5181944,-99.22875,8.393051
19.5193056,-99.22625,8.393051
19.5195833,-99.2251389,8.393051
19.5204167,-99.2245833,8.393051
19.5184722,-99.2276389,8.393051
19.5193056,-99.2254167,8.393051
19.5184722,-99.2273611,8.393051
19.5198611,-99.2293056,8.393051
19.5184722,-99.2295833,8.393051
19.5181944,-99.2276389,8.393051
19.5198611,-99.2245833,8.393051
19.5193056,-99.2251389,8.393051
19.51875,-99.2251389,8.393051
19.5190278,-99.2248611,8.393051
19.51875,-99.2295833,8.393051
19.5195833,-99.2273611,8.393051
19.5190278,-99.2243056,8.393051
20.5454167,-103.2806944,4.309854
20.54875,-103.2840278,4.309854
20.5459722,-103.2809722,4.309854
20.5465278,-103.2795833,4.309854
20.54625,-103.2781944,4.309854
20.5456944,-103.27875,4.309854
20.5473611,-103.2851389,4.309854
20.54625,-103.2815278,4.309854
20.5451389,-103.2790278,4.309854
20.5465278,-103.2820833,4.309854
20.5470833,-103.2845833,4.309854
20.5443056,-103.2806944,4.309854
20.5476389,-103.2840278,4.309854
20.5465278,-103.28125,4.309854
20.54625,-103.2806944,4.309854
20.5470833,-103.2790278,4.309854
20.5473611,-103.2834722,4.309854
20.5445833,-103.2795833,4.309854
20.5456944,-103.2815278,4.309854
20.54875,-103.2845833,4.309854
20.5476389,-103.28375,4.309854
20.5448611,-103.2809722,4.309854
20.5484722,-103.2845833,4.309854
20.5445833,-103.2801389,4.309854
20.5459722,-103.2804167,4.309854
20.5473611,-103.2856944,4.309854
20.5459722,-103.2798611,4.309854
20.5470833,-103.2834722,4.309854
20.5473611,-103.2854167,4.309854
20.5468056,-103.2779167,4.309854
20.5445833,-103.2798611,4.309854
20.5476389,-103.2848611,4.309854
20.5448611,-103.2795833,4.309854
20.5459722,-103.2806944,4.309854
20.5470833,-103.2843056,4.309854
20.5454167,-103.2790278,4.309854
20.5470833,-103.2826389,4.309854
20.5448611,-103.2798611,4.309854
20.5465278,-103.2809722,4.309854
20.5443056,-103.28125,4.309854
20.5465278,-103.2784722,4.309854
20.5454167,-103.2795833,4.309854
20.5468056,-103.2823611,4.309854
20.5456944,-103.28125,4.309854
20.5443056,-103.2793056,4.309854
20.5481944,-103.2851389,4.309854
20.5484722,-103.2834722,4.309854
20.5481944,-103.2848611,4.309854
20.5468056,-103.2781944,4.309854
20.5476389,-103.2790278,4.309854
20.5440278,-103.2795833,4.309854
20.5459722,-103.2793056,4.309854
20.5445833,-103.2804167,4.309854
20.5484722,-103.2848611,4.309854
20.5468056,-103.2809722,4.309854
20.54625,-103.2820833,4.309854
20.5451389,-103.2793056,4.309854
20.5465278,-103.2826389,4.309854
20.5465278,-103.2798611,4.309854
20.5454167,-103.2804167,4.309854
20.5445833,-103.2809722,4.309854
20.5459722,-103.27875,4.309854
20.5459722,-103.2795833,4.309854
20.5484722,-103.28375,4.309854
20.5443056,-103.2809722,4.309854
20.5476389,-103.2779167,4.309854
20.5470833,-103.2781944,4.309854
20.5456944,-103.2790278,4.309854
20.5481944,-103.2845833,4.309854
20.54625,-103.2809722,4.309854
20.5448611,-103.2804167,4.309854
20.5454167,-103.28125,4.309854
20.5454167,-103.2801389,4.309854
20.5470833,-103.2840278,4.309854
20.5470833,-103.2779167,4.309854
20.54625,-103.2818056,4.309854
20.5456944,-103.2823611,4.309854
20.54875,-103.28375,4.309854
20.5476389,-103.2843056,4.309854
20.5451389,-103.2809722,4.309854
20.54875,-103.2834722,4.309854
20.5470833,-103.2831944,4.309854
20.5481944,-103.2840278,4.309854
20.5443056,-103.2798611,4.309854
20.5456944,-103.2820833,4.309854
20.5470833,-103.27875,4.309854
20.5456944,-103.2809722,4.309854
20.5456944,-103.2804167,4.309854
20.5468056,-103.2790278,4.309854
20.5448611,-103.2793056,4.309854
20.5481944,-103.2834722,4.309854
20.5470833,-103.2829167,4.309854
20.5445833,-103.28125,4.309854
20.5456944,-103.2801389,4.309854
20.5484722,-103.2843056,4.309854
20.5454167,-103.27875,4.309854
20.5468056,-103.2818056,4.309854
20.5459722,-103.2818056,4.309854
20.5465278,-103.2801389,4.309854
20.5451389,-103.2801389,4.309854
20.5473611,-103.2781944,4.309854
20.5479167,-103.2843056,4.309854
20.5484722,-103.2840278,4.309854
20.5456944,-103.2795833,4.309854
20.5481944,-103.2854167,4.309854
20.5454167,-103.2809722,4.309854
